PID,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
P035,715,12.48,88.11,28.35,15.53,715,19.86,92.87,74.41,64.2,19.72,11.33,0.98,4.34,1.68,0.56,3.78,8.39,15.52,5.73,1.4,11.89,10.91,6.85,8.95,2.94,16.36,4.06,6.57,10.63,4.76,0.84,5.17,24.2,1.54,12.31,0.98,2.94,2.66,2.1,0,4.62,0,3.5,1.54,1.96,0.98,0.28,0.7,0.7,0,0,0,15.38,2.38,0.42,0.28,0.42,0.14,0.98,12.03,0,0,0,0.7,2.8,2.1,0.42,0.28,6.01,0,0,3.36,3.78,0,0.56,0.14,0,0,0,0,0,0.14,0,0.28,0.56,0.28,0.28,0.28,0,0,0.56,0.14,7.27,6.29,0,0.98,5.73,0,0,0.14,4.9,2.1,7.69,1.54,0,0,0,0,0,3.64,0,0,0,0,3.22,0.42,0
P037,634,57.13,76.5,24.7,24.24,634,18.3,87.07,68.14,55.68,11.51,5.52,0.32,0.32,1.58,0,2.68,5.99,15.3,7.73,1.1,14.35,6.78,8.68,9.15,0.16,14.04,5.52,3.15,3.31,0.79,0.47,2.21,23.82,0.32,17.82,1.58,3.79,2.37,4.73,3,2.05,0,2.84,1.58,1.26,1.26,0.63,0.63,0,0,0,0,9.62,1.42,0.16,0.16,0,0,0.63,7.1,0,0,0,0.47,1.58,1.42,0,0.16,2.52,0.32,0,1.74,0.79,0,1.58,0.79,0,0,0,0,0,0.47,0,0.63,0.79,0.16,0.79,0,0.16,0,0,0,9.78,10.88,0.16,2.05,8.36,1.26,0,0.32,2.37,0.95,6.15,0.95,0.16,0,0.16,0,0,1.26,0,0,0,0,1.26,0,0
P038,348,19.56,86.22,3.41,46.24,348,14.66,87.93,76.44,66.38,18.1,8.33,0.57,0,0.86,2.59,4.02,9.77,17.82,5.17,3.16,13.51,10.92,8.33,9.2,0,16.95,5.17,6.03,3.45,0.86,0.29,2.3,22.7,1.15,11.78,2.87,2.3,1.44,2.01,2.3,1.72,0,4.31,2.59,0.86,1.44,0.57,0,0,0,0,0,12.93,2.59,0.57,0,0.29,0.29,0.86,10.34,0,0,0,2.87,0.86,0.57,0.29,0,2.87,0.29,0,1.15,0.29,1.15,2.01,0.29,0,0.29,0,0,0,0.29,1.44,0,0.29,0.57,0,0,0,0,0,0,6.9,5.75,0.29,0,5.17,0.57,0,0,1.72,7.47,2.3,0.29,0.29,0.29,0.29,0,0,1.72,0,0,0,0,1.72,0,0
P039,627,24.08,40.06,30.51,28.77,627,15.63,87.72,74.48,63,14.19,4.31,0.32,0.96,0.16,0.16,2.55,9.89,19.14,7.97,2.71,13.56,13.08,8.61,9.25,2.23,18.34,5.42,7.34,2.87,0.96,0.96,0.96,25.52,1.59,12.6,3.35,1.75,2.55,0.8,0.48,3.83,0,1.91,1.12,0.48,0.32,0,0,0,0,0,0,6.86,1.28,0.16,0,0,0.16,0.8,5.26,0,0,0,0.32,1.12,0.48,0.64,0,2.07,0,0,0.96,0.8,0.32,0.8,0,0,0,0,0,0,0,0.8,0.32,0.16,0.32,0.96,0.16,0,0,0.32,0.16,5.58,7.97,0.64,0.96,6.38,0.32,0.32,0,3.19,4.94,5.74,0.64,0.16,0,0,0.16,0,4.47,0,0,0,0,4.15,0.32,0
P040,391,3.86,76.16,19.09,43.03,391,19.69,97.44,79.03,66.75,18.93,9.72,2.05,0,0.51,5.88,1.02,9.21,14.83,6.91,3.58,9.97,13.3,10.49,13.55,0.51,19.18,4.09,7.42,1.02,0.51,0.26,0.26,26.09,0.51,8.7,3.32,1.28,0.26,3.07,1.53,2.3,0.26,1.53,1.53,0,0,0,0,0,0,0,0,15.35,3.58,0.26,1.53,0,0.77,0.51,10.74,0,0.26,5.88,0.77,0,0,0,0,6.91,0,0,5.88,1.28,0,3.32,1.02,0.51,0,0,0,0,0,0,0.51,0,1.28,0,0,0,0,0,0.26,5.63,5.37,0.26,1.28,4.86,0,0,0,5.63,9.97,6.14,1.02,0.51,0,0.51,0,0,3.58,0,0,0,0,3.58,0,0
P042,708,6.6,88.38,24.2,18.56,708,14.83,93.93,82.06,68.93,19.77,11.16,0.85,1.84,0.56,1.41,6.07,8.62,13.7,6.92,0.28,14.97,18.79,8.05,10.31,1.41,27.4,4.8,2.54,5.23,2.12,0.42,2.68,28.39,0.85,12.15,1.27,1.27,2.68,3.53,0.56,3.95,0,2.68,1.27,1.41,0.56,0.28,0.28,0.28,0,0,0,17.37,3.25,0.42,0.14,0.56,0,1.69,13.42,0,0,1.41,0.56,1.84,1.55,0.28,0,0.56,0,0,0.28,0,0.28,0.42,0,0,0,0,0,0,0,0.42,0.28,0.56,1.27,0.71,0.14,0,0,0,0,7.63,10.17,0.56,0.99,8.19,0.99,0,0.14,3.11,6.07,8.76,1.98,1.55,0.99,0.42,0.14,0,8.62,0,0,0,0,8.33,0.28,0
P044,573,22.09,73.97,34.21,52.6,573,14.83,90.23,73.47,63.35,20.07,7.5,0.17,0.7,2.27,0,4.36,12.57,17.1,4.89,1.4,16.06,10.82,7.85,7.5,1.4,18.15,4.89,3.84,2.09,1.4,0.7,0,26.7,0.52,15.71,1.92,1.05,2.09,5.93,1.05,4.71,0,3.14,2.62,0.52,0.52,0.35,0.17,0.17,0,0,0,11.87,2.44,0,0,0,0,1.57,9.25,0.52,0,0,0,1.57,0,0.17,1.4,3.66,0.52,1.22,1.05,0.87,0,0.87,0,0,0,0,0,0,0.52,0,0.17,0.17,0.7,0.35,0,0,0,0.17,0.52,7.5,10.3,0.52,1.22,6.98,2.09,0.17,0,2.97,2.44,8.2,1.92,0.17,0,0.17,0,0,5.76,0,0,0,0,5.58,0.17,0
P045,736,8.37,48.12,54.55,37.85,736,14.13,94.7,80.43,64.95,21.74,10.87,4.89,0,2.58,0.27,2.99,10.87,15.35,5.71,1.36,12.91,12.5,8.97,8.29,1.9,23.1,5.3,4.62,1.36,0.68,0.68,0,34.1,2.17,18.75,6.79,4.48,1.36,3.8,0.54,2.85,0.14,2.72,1.9,0.68,1.09,0.27,0.68,0,0.41,0,0,10.33,1.49,0,0.14,0,0.14,1.09,8.42,0.14,0.14,0,0.54,0.27,0.14,0,0.14,5.71,2.04,0,1.77,2.72,0,0,0,0,0,0,0,0,0,0,0.41,0,0.68,0,0,0,0.41,0,0.27,9.38,4.48,0.27,0.27,2.72,1.09,0,0.54,2.85,4.48,8.97,0.27,1.22,0.14,0.82,0.14,0.14,6.11,0,0,0,0,6.11,0,0
P046,665,74.27,60.63,45.12,32.77,665,18.8,91.28,68.42,54.29,10.68,5.86,0.6,0,1.65,0,3.61,4.81,15.04,7.67,2.71,16.09,6.62,6.02,7.37,1.05,12.93,4.96,7.37,2.86,0.3,1.2,1.5,19.7,0.9,9.77,1.05,1.2,0.6,2.41,1.2,3.46,0,4.21,2.56,1.65,0.45,0,0.45,0.15,0.15,0,0,9.32,2.11,0.3,0.6,0.45,0,0.6,6.92,0,0,0,0,0,0,0,0,13.98,6.32,0,3.46,4.81,0,0.3,0,0,0,0,0,0,0,0.3,0.45,0,0.6,0,0,0,0.45,0.75,0,9.32,8.87,0.6,1.8,5.71,1.35,0.3,0,5.41,2.56,3.76,2.86,0,0,0,0,0,3.01,0,0,0,0,1.5,1.5,0
P047,426,43.31,32.16,24.51,56.9,426,17.14,90.14,74.88,62.68,13.15,6.81,2.35,0,0.23,1.17,3.05,6.34,19.95,7.75,5.16,12.68,11.5,6.57,6.34,1.64,16.43,7.04,11.03,2.35,0.94,0.94,0.47,25.82,0.94,12.68,2.82,2.82,1.17,1.41,1.64,3.99,0.23,3.76,3.05,0.7,0.47,0.47,0,0,0,0,0,9.15,2.35,0.23,0,0,0,1.64,6.34,0.47,0,0.47,1.17,0.47,0,0.23,0.23,1.64,0,0,1.17,0.7,0.23,1.17,0,0,0,0,0,0,0.23,0.23,0.23,0,0,0,0,0,0,0,0.47,10.56,5.4,0,0.47,4.93,0,0,0,2.11,2.58,8.45,1.17,0.94,0.47,0.23,0.23,0,2.82,0,0,0,0,2.82,0,0
