PID,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
P061,458,27.48,84.1,17.09,39.29,458,14.41,91.05,72.05,62.23,14.63,8.95,1.09,0.44,0.66,4.59,2.18,5.68,14.85,7.86,3.71,14.41,11.57,10.7,8.52,1.31,19,1.97,2.84,5.02,2.18,0.87,1.97,26.42,1.97,11.57,2.62,1.75,2.18,2.62,1.75,2.62,0.44,2.84,1.97,0.66,0.44,0,0.22,0,0,0,0,14.63,2.84,1.53,0.22,0.44,0,0.87,12.23,0,0,0,6.77,0,0,0,0,3.93,2.18,0.44,1.31,0,0,0.44,0.22,0,0,0,0,0,0,0,1.75,0.22,0.66,0,0.22,0,0,0.22,0,3.93,10.04,0.44,1.75,6.77,1.09,0,0.22,4.8,6.33,6.55,1.75,0,0,0,0,0,4.15,0,0,0,0,3.71,0.44,0
P062,472,58.98,30.62,44.62,53.01,472,19.07,86.23,75.64,62.5,10.59,1.91,0,0.42,0,0,0.85,8.69,19.49,11.86,3.6,12.29,12.29,4.87,9.32,0.64,17.58,6.99,8.26,1.91,0.64,0.42,0.85,27.97,1.27,11.44,3.39,2.33,0.85,1.48,0.42,4.87,0,2.54,2.33,0.21,0.21,0.21,0,0,0,0,0,4.87,1.48,0.64,0,0,0,0.85,3.39,0.21,0,0.21,0,1.06,0.42,0.64,0,2.54,0,0,2.54,0,0,0.64,0.21,0,0,0,0,0,0,0,0.21,0,0.85,0.42,0,0,0,0,0.64,5.3,5.51,0,0.42,4.87,0.42,0,0,4.66,8.69,5.93,0.42,0,0,0,0,0,0.21,0,0,0,0,0.21,0,0
P063,614,18.93,25.18,14.86,22.25,614,17.43,87.3,72.15,59.77,11.73,2.12,0.65,0,0.16,0,1.3,9.61,15.8,7.98,1.14,10.91,9.61,11.24,13.36,1.14,14.82,6.19,6.51,4.07,0.49,1.79,2.77,25.24,0.81,14.33,0.98,1.95,3.26,2.28,2.28,4.07,0.16,1.79,0.98,0.81,0.33,0,0.33,0.16,0,0,0,6.35,1.95,0.33,0.33,0.16,0,0.65,2.93,0.33,0,0.33,0,0.16,0,0,0.16,8.31,0,0.16,5.37,4.72,0,0.33,0,0,0,0,0,0,0.16,0,0.33,0.16,0.65,0,0,0,0,0.49,0.16,5.54,6.51,0,1.63,4.56,0.33,0,0,3.75,2.77,8.96,0.65,0.49,0,0.16,0.33,0,3.91,0,0,0,0,3.09,0.81,0
P064,948,29.04,35.24,87.55,30.26,948,14.45,91.03,78.59,63.4,19.09,10.55,5.27,0.42,1.48,0,3.16,8.54,12.34,5.17,1.69,17.62,9.92,8.76,7.91,0.95,20.36,4.64,2.85,1.48,0.74,0.42,0.32,23.73,0.95,13.61,3.16,2.43,2.22,2.64,0.53,4.01,0,3.69,2.11,1.37,0.74,0.74,0,0,0,0,0.21,10.02,2.22,0.21,0,0.21,0.53,1.16,7.7,0,0.11,0,0.21,0.84,0,0,0.84,1.37,0.11,0,0.74,0.63,0,0.53,0.21,0,0,0,0,0,0,0.21,0.63,0.42,2,0.11,0.11,0,0.11,0,0,15.19,12.87,0.21,4.32,7.81,0.53,0.11,0.74,2.11,2.32,6.75,1.16,1.58,0.53,0.53,0.42,0.11,4.64,0,0,0,0,4.54,0.11,0
P065,846,20.51,28.37,55.71,79.94,846,15.13,95.98,77.9,65.01,13.36,6.03,2.6,0.59,0.71,0.71,1.42,7.33,13.71,8.04,0.71,12.88,10.76,11.7,10.52,2.01,18.44,5.44,3.19,5.44,0.71,2.25,2.48,31.21,0.95,21.75,4.49,4.96,2.25,6.86,1.42,5.08,0,5.79,4.85,0.95,1.06,0.83,0.24,0,0,0,0,8.63,3.66,0.12,0,0,2.01,0.59,6.26,0,0,0,0.71,1.06,1.06,0,0,3.07,2.6,0,0.12,0.35,0,0.24,0.12,0.12,0,0,0,0,0,0,1.06,0,0.47,0.35,0.12,0,0.47,0.24,0.47,12.65,6.5,0.71,0.71,4.85,0.83,0.12,0.24,4.14,2.48,5.79,1.06,0.95,0.24,0.35,0.35,0,3.43,0,0,0,0,3.43,0,0
P066,617,67.6,41.97,66.2,71.14,617,14.1,86.22,68.07,54.78,10.86,4.54,0.65,0.16,0.32,0,2.43,6.32,16.86,7.13,0.65,15.88,7.46,5.19,9.08,0.97,15.24,7.13,4.05,4.86,0.97,2.43,1.62,21.23,0.49,12.8,1.3,2.11,1.78,2.11,0.81,4.54,0.16,4.54,3.89,0.65,0.49,0.32,0.16,0,0,0,0,11.18,1.78,1.3,0.49,0,0,0.16,6,0,0,0,0,0.32,0.16,0,0.16,5.02,0,0.16,3.08,1.78,0,0.65,0,0,0,0,0,0,0,0,0.65,0.16,0.97,0,0,0,0.65,0,0,8.1,11.99,0.32,1.78,9.56,0.16,0,0.32,4.38,2.59,5.19,0.97,0.16,0,0.16,0,0,2.27,0,0,0,0,1.94,0.32,0
P067,437,12.03,86.27,25.06,44.19,437,15.1,90.39,78.26,67.96,16.48,8.47,0.69,0.46,2.29,0,5.03,8.01,15.33,5.72,4.58,13.73,11.9,11.9,10.76,0.46,17.62,4.35,6.41,2.06,0.69,0.23,1.14,23.34,1.14,12.13,2.52,2.06,2.75,3.66,2.06,2.29,0.23,2.52,2.06,0.46,0,0,0,0,0,0,0,10.76,0.92,0.46,0.23,0,0.46,0.23,9.61,0.23,0,0.23,0,0.69,0.69,0,0,2.97,0,0,1.83,0.69,0.46,0.69,0,0,0,0,0,0,0,0.46,0.92,0,1.6,0,0.23,0,0,0.23,0.69,7.09,8.47,0.46,0.69,7.55,0.23,0,0,3.43,4.35,4.81,1.37,0.23,0,0.23,0,0,2.06,0,0,0,0,2.06,0,0
P068,760,11.93,93.96,47.41,67.88,760,11.45,95.92,83.29,65.66,21.05,10.26,0.92,2.63,5,0,1.71,10.79,13.82,6.18,0.79,12.89,11.58,8.29,9.47,0.79,22.5,5.13,4.21,6.84,3.42,3.03,0.39,26.05,1.71,14.74,3.42,2.24,3.16,3.42,0.66,4.21,0,6.18,4.61,1.58,1.05,0.53,0.53,0,0.13,0,0,15.13,4.47,0.26,0,0.92,0,2.63,10.26,0,0.13,0,0.13,0,0,0,0,2.76,1.05,0.13,1.32,0.26,0,0.66,0.26,0,0,0,0,0,0.39,0,1.18,0.53,0.66,0,0,0,0.39,0.39,0.26,12.89,7.63,0.13,1.18,5.92,0.92,0.26,0,5.26,0.79,7.5,2.24,0.92,0.79,0.13,0,0,4.21,0,0,0,0,3.55,0.66,0
P071,714,20.16,62.48,67.28,29.69,714,15.55,90.48,79.41,63.03,20.03,9.38,2.52,0.28,3.5,0,3.08,10.64,13.73,7,0.42,13.31,9.8,7.28,9.38,1.4,22.41,5.88,3.36,1.96,0.28,1.68,0,30.53,0.56,19.19,6.58,3.36,1.4,5.46,0.98,4.62,0,2.94,1.82,1.12,0.42,0.14,0.28,0,0,0,0,10.5,1.82,0,0,0,0.14,1.26,8.54,0,0,0,0,0,0,0,0,0.28,0,0,0.28,0,0,0.14,0.14,0,0,0,0,0,0,0,0.42,0.42,1.26,0,0,0,0,0.28,0,10.64,7.98,0.7,1.54,4.2,1.12,0,0.7,2.52,2.66,7.56,2.8,0.28,0,0.28,0,0,4.06,0,0,0,0,3.92,0.14,0
P072,742,10.25,81.74,70.95,13.07,742,12.94,98.25,81.27,67.12,18.87,9.43,0.81,3.23,3.37,0,1.75,9.43,12.94,5.66,0.27,14.69,16.04,7.01,8.36,3.37,25.2,5.12,5.93,6.33,3.77,1.75,0.81,34.5,2.56,19.95,6.2,2.7,2.56,3.91,0.67,4.85,0,3.1,1.21,1.89,1.75,0.27,1.48,0,0,0.13,0,12.26,2.02,0.54,0,0,0.13,1.35,10.11,0,0,0,0,0.81,0,0,0.81,4.31,0.27,0.81,2.83,0.4,0,3.5,2.43,0.27,0.13,0.13,0,0,0.4,0,0.94,0.81,0.94,0,0,1.35,0,0.13,0.27,8.63,7.95,0,1.48,7.01,0,0,0.13,3.37,1.62,9.84,2.16,0.27,0,0.13,0.13,0,6.47,0,0,0,0,6.33,0.13,0
P073,275,31.52,89,10.71,76.62,275,7.64,92.36,76.73,64.73,17.09,6.91,0.73,1.09,1.82,2.18,1.09,10.18,17.09,7.27,2.18,16,10.91,7.64,10.18,0.36,19.64,3.64,5.82,1.45,1.09,0.36,0,24,0,9.82,3.27,2.18,0.36,1.09,1.45,1.82,0,3.64,3.64,0,0.36,0.36,0,0,0,0,0,12.36,2.55,0.36,0.73,0,0,1.82,9.82,0,0,2.18,0.36,0,0,0,0,3.64,0.36,0,2.18,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0,0,0,0,0,0.36,9.82,4.73,0.36,1.45,2.91,0.73,0,0,3.64,8.36,6.55,1.45,1.09,0.73,0.36,0,0,3.27,0,0,0,0,3.27,0,0
